1,116.27492530,40.05111949,0.11,1,0.66,4.29
2,116.49593363,40.61297708,0.13,1,0.39,16.63
3,117.42829334,39.72714880,0.14,1,0.59,13.66
4,116.14129534,41.01363887,0.10,1,0.43,31.51
5,116.30552284,40.32601697,0.11,1,0.68,4.78
6,115.53907900,40.80013220,0.10,1,0.31,14.98
7,117.51046033,39.90923488,0.09,1,0.48,4.38
8,117.06269541,40.11341158,0.10,1,0.62,15.72
9,117.03499968,40.13992086,0.11,0,0.46,15.80
10,116.54588786,39.84238936,0.05,1,0.62,29.46
11,116.21124285,40.35114319,0.08,0,0.44,4.45
12,116.34040755,40.61070739,0.08,1,0.56,13.30
13,116.46568309,39.92727292,0.12,1,0.64,4.40
14,115.92994189,40.26018297,0.09,1,0.50,14.77
15,116.05070690,40.44887613,0.08,1,0.52,29.53
16,116.69931990,40.58198414,0.10,1,0.38,4.54
17,116.17287681,40.52324922,0.08,1,0.69,15.95
18,116.07375959,40.29534608,0.06,1,0.39,13.96
19,115.97450493,40.78814470,0.11,1,0.45,14.22
20,116.36041199,40.32693710,0.09,0,0.51,12.48
21,116.26445874,40.69410825,0.15,1,0.61,15.50
22,116.11810713,40.02979553,0.12,1,0.80,14.87
23,116.93341199,40.30455010,0.13,1,0.39,12.51
24,116.24401332,40.30627553,0.10,1,0.25,14.94
25,116.90740101,40.62007658,0.10,0,0.43,28.13
26,115.81753567,40.20995394,0.09,1,0.29,14.65
27,117.00008953,40.35787296,0.02,1,0.43,14.35
28,116.95029135,40.64883395,0.16,1,0.59,14.81
29,116.40500310,40.19679153,0.05,1,0.61,4.44
30,116.95406385,40.06080848,0.10,1,0.61,16.29
31,116.38704659,39.99367281,0.12,0,0.60,4.26
32,116.09557265,40.21258879,0.13,1,0.83,12.82
33,117.00387155,40.01925035,0.09,1,0.45,15.72
34,117.04508391,40.52355866,0.10,1,0.79,16.50
35,115.50426864,39.62024106,0.12,1,0.56,4.76
36,116.64760279,40.42995702,0.07,1,0.35,3.90
37,116.21765638,40.10265585,0.14,0,0.42,14.37
38,116.53089060,40.68274282,0.09,1,0.79,4.59
39,116.88737839,40.53868397,0.08,1,0.40,4.53
40,115.75372323,40.00270895,0.12,0,0.45,4.80
41,116.79574894,40.67116399,0.10,1,0.48,31.32
42,116.23042073,39.94069019,0.11,1,0.43,30.03
43,117.07507475,40.91314701,0.10,0,0.58,14.75
44,116.56749777,40.35358326,0.12,1,0.51,16.74
45,116.61944504,40.14102477,0.06,0,0.37,15.25
46,116.43869283,40.53070932,0.06,1,0.66,30.95
47,116.52149163,40.71514292,0.14,1,0.54,12.80
48,116.88850411,39.88795382,0.12,1,0.53,4.62
49,116.03624851,40.32811999,0.09,0,0.81,16.64
50,116.42770017,40.61394916,0.10,1,0.38,13.88
51,115.94128623,40.15330589,0.12,1,0.49,15.66
52,116.44731319,40.53492767,0.14,1,0.70,4.18
53,116.72073509,40.29155180,0.11,1,0.54,4.71
54,116.68164491,40.35464363,0.16,0,0.83,14.24
55,116.09186929,39.85216994,0.08,1,0.36,4.78
56,116.34081840,40.25061514,0.14,1,0.49,15.83
57,116.96336660,39.87481539,0.11,1,0.64,15.58
58,115.81430562,39.93561705,0.08,1,0.57,4.59
59,116.06780660,39.91194320,0.10,1,0.49,4.03
60,116.15453280,39.86893659,0.03,1,0.38,15.83
61,116.12024249,40.14644556,0.10,1,0.82,13.15
62,116.39291496,40.54728790,0.07,1,0.58,15.76
63,116.59174197,40.19318307,0.13,0,0.37,14.18
64,115.95086463,40.25025790,0.08,1,0.47,4.46
65,115.64677044,40.26793536,0.12,0,0.34,14.91
66,116.50973575,40.35791643,0.10,1,0.58,16.16
67,115.84279232,40.44688217,0.09,0,0.64,14.47
68,116.44370459,40.20672892,0.09,1,0.43,14.54
69,115.71415932,40.12715508,0.05,1,0.58,15.60
70,116.74774796,40.66351633,0.12,1,0.81,15.92
71,116.71901078,39.77142573,0.07,1,0.62,31.71
72,116.02553300,40.27453820,0.16,1,0.52,14.19
73,116.96086065,39.92412805,0.13,1,0.56,28.81
74,116.89269550,40.05369727,0.06,0,0.54,14.66
75,116.54584013,40.34685394,0.15,1,0.47,14.60
76,116.79338223,40.28524944,0.12,1,0.64,16.86
77,116.23000783,40.06682255,0.07,1,0.52,4.29
78,116.14602968,40.80050371,0.12,1,0.42,4.54
79,116.52346046,40.46842318,0.10,1,0.73,14.67
80,116.68608715,40.57192946,0.08,1,0.40,31.41
81,116.19897934,39.75347540,0.15,1,0.63,14.97
82,116.73809245,40.41042532,0.12,1,0.83,4.32
83,116.05460419,40.57500111,0.10,1,0.67,17.31
84,115.84374976,40.26258213,0.09,1,0.48,15.25
85,117.43222247,40.65510867,0.10,0,0.62,16.00
86,116.96924663,39.94357193,0.03,1,0.51,4.65
87,115.87111828,40.67971286,0.10,1,0.50,15.06
88,116.45470422,39.96948492,0.13,1,0.66,16.22
89,116.50422636,39.78003374,0.05,1,0.74,30.90
90,116.20533581,40.16310500,0.09,1,0.70,16.86
91,116.76491588,40.28895112,0.10,1,0.49,14.19
92,116.45797422,40.29630172,0.13,1,0.48,14.62
93,115.66117483,40.77719974,0.13,0,0.47,15.56
94,116.37635913,40.49148440,0.07,1,0.70,4.73
95,116.45670425,40.30951183,0.06,1,0.63,31.42
96,116.91539858,39.97314605,0.12,1,0.85,14.69
